corridor,total_incidents,closure_rate,high_priority_pct,avg_resolution_mins,breakdown_pct,lat,lon,risk_score
Non-corridor,3124,0.12099871959026888,0.0,67.44224876666667,0.5278489116517285,12.982860757147886,77.59869370240396,0.43629961587708066
Mysore Road,743,0.11036339165545088,0.9973082099596231,49.981897958333334,0.7604306864064603,12.957789848532975,77.56365169753701,0.4274359235062892
Bellary Road 1,610,0.054098360655737705,1.0,60.449528900000004,0.7360655737704918,13.016800333295082,77.58640391181967,0.39433450179467266
Tumkur Road,458,0.026200873362445413,0.9912663755458515,39.5206339,0.8362445414847162,13.03145855635371,77.53366288997817,0.3638829403575083
ORR North 1,275,0.08,1.0,64.03269065,0.5563636363636364,13.024548560727274,77.6374390749091,0.3592112676056338
Bellary Road 2,379,0.0316622691292876,1.0,61.77526506666666,0.7097625329815304,13.105955984643801,77.60327070794196,0.35802620954800524
Hosur Road,298,0.05704697986577181,1.0,65.48031155,0.5704697986577181,12.915472638859061,77.6246641238255,0.35527030394692743
ORR East 1,244,0.07377049180327869,1.0,59.87392800833334,0.6311475409836066,12.92830523012295,77.66913126594262,0.35337314498016414
Old Madras Road,263,0.045627376425855515,1.0,45.051608525000006,0.6996197718631179,12.980913109239543,77.62932269859316,0.3473629888560537
Varthur Road,77,0.11688311688311688,1.0,60.968004791666665,0.6883116883116883,12.956553281558442,77.71593558831168,0.3449240899945125
Magadi Road,245,0.04081632653061224,1.0,65.018907025,0.6979591836734694,12.985060329183675,77.52334412706122,0.3436149363714756
ORR North 2,235,0.0425531914893617,1.0,59.8490193,0.625531914893617,13.041927711489363,77.5588224812766,0.3428555861279865
West of Chord Road,174,0.06321839080459771,1.0,53.397788483333336,0.603448275862069,12.982972128908047,77.54633964333333,0.34124464656276216
Airport New South Road,67,0.1044776119402985,1.0,91.12731314999999,0.4626865671641791,13.027519333134329,77.63352693955224,0.33992202878055305
CBD 1,26,0.11538461538461539,1.0,55.216074733333336,0.34615384615384615,12.981022508461537,77.60681504576922,0.3379444499162809
Bannerghata Road,209,0.03349282296650718,1.0,62.15927346666667,0.4449760765550239,12.89637691401914,77.59787957086125,0.33680841027023384
CBD 2,104,0.0673076923076923,1.0,80.77679030833335,0.49038461538461536,12.983311848846153,77.59504618076923,0.3335085688958928
Old Airport Road,76,0.07894736842105263,1.0,69.78363693333334,0.5263157894736842,12.958868384605262,77.66184546789474,0.3334153244827818
IRR(Thanisandra road),95,0.06315789473684211,1.0,60.60606776666667,0.25263157894736843,12.93750642368421,77.62694487126316,0.3311112608666352
Hennur Main Road,96,0.0625,1.0,112.0020468,0.3541666666666667,13.051147273958334,77.62619125145834,0.331041933418694
ORR West 1,168,0.02976190476190476,1.0,72.52724768333333,0.625,12.920838972261905,77.559127815,0.3304394549112859
ORR East 2,187,0.016042780748663103,1.0,52.82519771666667,0.2994652406417112,12.975834571229946,77.69602581374332,0.3287564961964299
